size,direction,distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse_target.x,mouse_target.y,mouse_target.leftButton,mouse_target.midButton,mouse_target.rightButton,mouse_target.time,mouse_target.clicked_name,session,participant,date,expName,frameRate,
100,15,400,1,52,152,60,0.08875,0.4444444444444444,1,0,0,0.6985837999964133,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,45,100,1,53,153,10,-0.215,0.46444444444444444,1,0,0,0.38266160001512617,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,15,200,1,54,154,21,-0.145,0.5688888888888889,1,0,0,0.43245740002021194,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,15,500,1,55,155,80,0.21875,0.3622222222222222,1,0,0,0.8980903000338003,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,45,300,1,56,156,50,-0.1125,0.13333333333333333,1,0,0,0.4653530999785289,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,60,300,1,57,157,53,-0.175,0.09777777777777778,1,0,0,0.7317111000884324,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,15,300,1,58,158,42,-0.0775,0.5355555555555556,1,0,0,0.5157076000468805,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,30,200,1,59,159,26,-0.18625,0.4688888888888889,1,0,0,0.6318453999701887,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,45,100,1,60,160,8,-0.2975,0.5111111111111111,1,0,0,0.7983267999952659,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,60,400,1,61,161,74,-0.12125,-0.08888888888888889,1,0,0,0.6982585999649018,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,15,400,1,62,162,61,0.105,0.4622222222222222,1,0,0,0.5654167000902817,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,60,100,1,63,163,12,-0.3075,0.47333333333333333,1,0,0,0.5474913999205455,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,15,300,1,64,164,43,0.01875,0.5022222222222222,1,0,0,0.46523630002047867,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,30,100,1,65,165,7,-0.21125,0.5444444444444444,1,0,0,0.3486424000002444,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,30,100,1,66,166,6,-0.25375,0.5622222222222222,1,0,0,0.36513509997166693,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,75,400,1,67,167,79,-0.20375,-0.2088888888888889,1,0,0,0.4655103998957202,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,60,200,1,68,168,32,-0.295,0.3111111111111111,1,0,0,0.6313027000287548,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,30,500,1,69,169,87,0.2375,0.015555555555555555,1,0,0,0.44848859997000545,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,15,500,1,70,170,81,0.20625,0.4,1,0,0,0.5654203000012785,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,15,400,1,71,171,62,0.10375,0.43333333333333335,1,0,0,0.5483550999779254,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,30,500,1,72,172,85,0.18875,0.14,1,0,0,0.6322139999829233,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
